color,image_url,name,price
Xanh dương,https://image.cellphones.com.vn/358x/media/catalog/product/9/_/9_pro_plus_2.png,Realme 9 Pro,7.190.000
Xanh lá,https://image.cellphones.com.vn/25x/media/catalog/product/9/_/9_ro_plus_1.png,Realme 9 Pro,7.190.000
Xám,https://image.cellphones.com.vn/358x/media/catalog/product/r/e/realme-c11-2021-gray-600x600_1.jpg,Realme C11 (2021),2.490.000
Xanh,https://image.cellphones.com.vn/358x/media/catalog/product/d/o/download_15_6.jpg,Realme C11 (2021),2.490.000
Xám,https://image.cellphones.com.vn/358x/media/catalog/product/1/5/1572009973_2.jpeg,Nokia C21 Plus 3GB 32GB,2.790.000
Xanh,https://image.cellphones.com.vn/358x/media/catalog/product/1/7/1702524076_2.jpeg,Nokia C21 Plus 3GB 32GB,2.790.000
Xám,https://image.cellphones.com.vn/358x/media/catalog/product/1/5/1572009973.jpeg,Nokia C21 Plus 3GB 64GB,2.990.000
Xanh,https://image.cellphones.com.vn/358x/media/catalog/product/1/7/1702524076.jpeg,Nokia C21 Plus 3GB 64GB,2.990.000
Xám,https://image.cellphones.com.vn/358x/media/catalog/product/r/e/realme-c11-2021-gray-600x600_3.jpg,Realme C11 2021 4GB 64GB,3.190.000
Xanh dương,https://image.cellphones.com.vn/358x/media/catalog/product/d/o/download_15_8.jpg,Realme C11 2021 4GB 64GB,3.190.000
Trắng,https://image.cellphones.com.vn/358x/media/catalog/product/s/a/samsung-galaxy-a73-1-600x600_2.jpg,Samsung Galaxy A73 128GB,11.290.000
Xám,https://image.cellphones.com.vn/358x/media/catalog/product/g/a/galaxy-a73-grey-001_1.jpg,Samsung Galaxy A73 128GB,11.290.000
Xanh,https://image.cellphones.com.vn/358x/media/catalog/product/a/7/a73-xanh_1.jpg,Samsung Galaxy A73 128GB,11.290.000
Trắng,https://image.cellphones.com.vn/358x/media/catalog/product/0/0/002_2_3.png,Xiaomi Redmi 10 4GB - 128GB (2022),4.090.000
Xám,https://image.cellphones.com.vn/358x/media/catalog/product/0/0/001_2_3.png,Xiaomi Redmi 10 4GB - 128GB (2022),4.090.000
Xanh,https://image.cellphones.com.vn/358x/media/catalog/product/0/0/004_2_3.png,Xiaomi Redmi 10 4GB - 128GB (2022),4.090.000
Bạc,https://image.cellphones.com.vn/358x/media/catalog/product/t/e/tecno-pova-2-3_4.jpg,Tecno Pova 2,3.450.000
Xanh,https://image.cellphones.com.vn/358x/media/catalog/product/t/e/tecno-pova-2-1_4.jpg,Tecno Pova 2,3.450.000
Đen,https://image.cellphones.com.vn/358x/media/catalog/product/t/e/tecno-pova-2-2_4.jpg,Tecno Pova 2,3.450.000
Bạc,https://image.cellphones.com.vn/358x/media/catalog/product/t/e/tecno-pova-2-3_3.jpg,Tecno Pova 2 6G 128GB,3.850.000
Xanh,https://image.cellphones.com.vn/358x/media/catalog/product/t/e/tecno-pova-2-1_3.jpg,Tecno Pova 2 6G 128GB,3.850.000
Đen,https://image.cellphones.com.vn/358x/media/catalog/product/t/e/tecno-pova-2-2_3.jpg,Tecno Pova 2 6G 128GB,3.850.000
