('Phone__PhoneName', 'Phone__name')
('Phone__Price', 'Phoneinformation__price')
('Phone__Price', 'Phoneinformation__price_sale')
('Phone__Image', 'Phoneinformation__image')
('Phone__Color', 'Phoneinformation__color')
('Phone__Producer', 'Phoneinformation__producer')
('Information__PhoneID', 'Phoneinformation__PhoneID')
('Information__Ram', 'Phoneinformation__RAM')
('Information__Screen', 'Phoneinformation__screen')
