table,column
Phoneimage,PhoneID
Phoneimage,ImageUrl
Phone,Name
Phone,Company
Phone,OriginPrice
Phone,DiscountPrice
Phone,DiscountRate
Phone,Color
Phoneinformation,PhoneID
Phoneinformation,Memory
Phoneinformation,Chip
Phoneinformation,Ram
Phoneinformation,Sim
Phoneinformation,Pin
Phoneinformation,FrontCamera
Phoneinformation,BehindCamera
Phoneinformation,Screen
Phoneinformation,OperatingSystem
