table,column
phone,phone_id
phone,name
phone,brand
phone,dipslay
phone,display_resolution
phone,display_size
phone,ROM
phone,RAM
phone,battery
phone,battery_type
phone,OS
phone,images
phone,sim_card
phone,front_camera
phone,rear_camera
phone,release_date
variants,phone_id
variants,color
variants,price
variants,price_arket
variants,variant_image

